@relation zou
@attribute SMV real
@attribute X real
@attribute Y real
@attribute Z real
@attribute SMV-Z real
@attribute Azimuth real
@attribute Pitch real
@attribute Roll real
@attribute SMV-H real
@attribute gyr-a real
@attribute gyr-b real
@attribute gyr-c real
@attribute SMV-gyr real
@attribute class {zou,pao,jing,diedao,zhuan}
@data
4.863326115238266,1.6273909060473386,-1.2402486029801576,-4.41195230537216,-9.952287470472625,103.4650 ,55.3903 ,3.6817 ,9.577174729882055,-0.0038 ,0.0082 ,0.0015 ,0.009161331780914826,zou
7.05101948943488,1.765925262109734,-2.75838878459237,-6.244171291858368,-6.718711574054151,77.5234 ,41.5728 ,2.9108 ,9.05346825350614,-0.0920 ,0.0760 ,0.0026 ,0.11935979222502023,zou
7.073680218345601,1.6922552309283798,-2.8208969002902737,-6.262249176034288,-6.776079673992774,77.4181 ,41.6095 ,3.0556 ,9.125813107108453,-0.1164 ,0.0795 ,-0.0359 ,0.14545796643704326,zou
7.120387901594544,1.650091496679325,-2.825428260052548,-6.324087054196596,-6.8544948270623465,77.3373 ,41.6570 ,3.2097 ,9.149435612554075,-0.1309 ,0.1628 ,-0.0669 ,0.2193496295871046,zou
7.019436254416489,1.566092415652537,-2.7241791540444735,-6.276837405264034,-6.886675867284991,77.2449 ,41.7083 ,3.3504 ,9.05279224810406,-0.1126 ,0.0942 ,-0.0550 ,0.15677180869021062,zou
7.223993923953297,1.811062441455376,-2.590146015304078,-6.495943708643745,-6.90741622044461,77.2001 ,41.7603 ,3.4932 ,8.968868299490616,-0.1016 ,0.0840 ,-0.0521 ,0.1417496737209649,zou
7.217926267484751,1.3739393709406653,-2.8284495100216756,-6.496970338325677,-7.182087275442512,77.1290 ,41.8097 ,3.6392 ,9.205525898029654,-0.1387 ,0.1324 ,-0.0961 ,0.21448230696260237,zou
6.841597355696397,1.6611300619924572,-2.962414122708169,-5.939040651502232,-6.57235604841636,77.0867 ,41.8618 ,3.7611 ,9.284966002050012,-0.2447 ,0.0485 ,-0.0427 ,0.253088186211842,zou
6.9016256465830566,1.9876767262048824,-2.5704272716720773,-6.088881788860815,-6.4974190881013145,76.9646 ,41.9057 ,3.8744 ,8.92813401004405,-0.0831 ,-0.0541 ,-0.0310 ,0.10389138559091413,zou
6.943276971994417,1.6560189903346814,-2.4104301168474285,-6.297342524055188,-6.889790198701794,76.9193 ,41.9387 ,3.9754 ,8.797131128955815,-0.0266 ,-0.0458 ,-0.1093 ,0.12145653543552112,zou
7.2056680593476905,1.4405126255144804,-2.528836180700303,-6.591779966626465,-7.240633016716279,76.8104 ,41.9772 ,4.0954 ,8.955952546696336,-0.2364 ,0.1032 ,-0.1834 ,0.3164976461207887,zou
7.000917443232594,1.6703153259273296,-2.6869596926401558,-6.24524934402605,-6.831519639683674,76.8005 ,42.0400 ,4.2645 ,9.088963437309014,-0.4092 ,0.1441 ,-0.1306 ,0.45306269985510833,zou
13.763405309438122,-2.2554368096915294,-12.05341380567689,-6.249763686610539,-3.2042749463865583,609.8339 ,338.1572 ,37.7529 ,6.2556203791294225,-0.1957 ,0.0747 ,-0.0613 ,0.21825734810081426,zou
13.6656730028378,6.8733139844155815,-7.453393559983631,9.162701453835632,-6.168754265813572,302.5520 ,170.5741 ,21.6720 ,8.936045849634116,-0.2219 ,0.1332 ,-0.0353 ,0.26120478556106125,zou
7.140784202670258,1.226650886302091,-3.1746486724935696,-6.27755784031292,-7.1089294765248,75.4225 ,42.8192 ,5.6715 ,9.69320367752399,-0.7101 ,0.5344 ,-0.0838 ,0.89266332399175,zou
16.366449567936424,-2.5752717431406467,-15.69056693880038,-3.8774677365275605,-5.388317626243906,551.3046 ,319.1294 ,46.0477 ,8.714053600453399,-0.6021 ,-0.1555 ,-0.0967 ,0.6293294447266868,zou
7.300734543082131,3.66136025892956,-1.5732538339758069,-6.117192027128487,-5.412100241883953,74.3121 ,44.1781 ,6.4343 ,8.477538999015133,-0.0327 ,-0.5739 ,0.0872 ,0.581407206697681,zou
6.7236970864149725,2.7656056552130974,-1.699959651489384,-5.888095197347493,-5.853644772380498,74.1495 ,44.2703 ,6.5049 ,8.437263791666801,-0.2617 ,-0.1481 ,-0.0788 ,0.3108535668124141,zou
6.488551457665916,1.7517254605778247,-1.7312248055633424,-6.002967483015718,-6.641690167201799,74.0346 ,44.4252 ,6.6152 ,8.439781289111925,-0.4659 ,0.0588 ,-0.1855 ,0.5049064269743454,zou
7.038050291763223,1.5007713486133791,-2.090372238525646,-6.550738979151196,-7.184090635012513,73.9735 ,44.5938 ,6.7325 ,8.893957171391744,-0.5766 ,-0.0021 ,0.0469 ,0.5785080639023107,zou
7.400249865908915,1.9348112676028681,-2.2343350426095343,-6.784390197652915,-7.039732556421924,73.9572 ,44.7743 ,6.7956 ,9.134155856960504,-0.5678 ,-0.4829 ,0.2783 ,0.7956381966698179,zou
7.357016977661619,2.506727271137537,-2.7094975063896207,-6.3640113498174316,-6.305456593115631,73.9453 ,44.9901 ,6.7978 ,9.590026139603768,-0.5474 ,-0.8221 ,0.3711 ,1.0550878541619175,zou
7.696031987134261,3.5786710829577606,-3.6552702425944457,-5.74987139687482,-5.014066034019453,73.7532 ,45.2465 ,6.7487 ,10.497691405774198,-0.4495 ,-1.1724 ,0.4138 ,1.3220447987870911,zou
8.171550265390858,5.490222565189088,-4.015282981976411,-4.528707597002545,-2.7335905931656423,73.5179 ,45.5246 ,6.6455 ,10.768313310258245,-0.1071 ,-1.3601 ,0.4545 ,1.4380238767141527,zou
8.443623003986636,5.87108798704597,-3.694685028726166,-4.81397941627543,-2.6284164357904922,73.1290 ,45.8176 ,6.5093 ,10.562270108472449,0.4453 ,-0.8618 ,0.3437 ,1.0291360551452853,zou
9.05269766108415,3.526586075130075,-3.4616218903900817,-7.584965358237918,-6.17938232209371,72.7324 ,46.1127 ,6.3574 ,10.79882354946905,1.1798 ,0.2513 ,-0.1066 ,1.2109679145212724,zou
8.920075482018868,-2.1880828205633223,-2.5183910231038995,-8.272710972227875,-10.786833875663499,72.2309 ,46.4176 ,6.1887 ,9.797456095606401,2.3601 ,2.5842 ,-0.6182 ,3.5539179633187934,zou
21.987688060894854,-0.4670509642675652,-21.888049053704627,2.038037851124157,-20.24849898358891,421.1206 ,281.7853 ,33.5513 ,7.4927431233252895,2.9445 ,3.1238 ,-0.3851 ,4.310047412732255,zou
7.566965461414709,4.005968667229778,-2.8804654470027238,-5.737081151599635,-4.111237504739799,68.8037 ,46.3110 ,5.3496 ,9.458002195097231,2.9175 ,-0.5836 ,-0.2386 ,2.984849270901296,zou
12.669634102385892,-3.0427210813143097,-11.958076323269978,-2.875045626857954,-4.464647759021258,577.3748 ,328.4246 ,48.0229 ,5.962475606790761,3.1985 ,0.6676 ,-0.2387 ,3.2761363982593887,zou
4.404593069948611,0.2350341181615947,3.4360204768480775,-2.7457170935513426,-14.27459615174265,148.9733 ,68.4763 ,12.2394 ,3.7027147034289527,2.4704 ,3.3441 ,-0.2974 ,4.168252359202835,zou
5.88377907036634,-0.9099418498153915,5.393046634378195,-2.1693109454980304,-13.320148857258289,180.6708 ,73.6234 ,12.1360 ,1.9962253671507317,1.6886 ,3.0612 ,-0.5301 ,3.536003593041161,zou
5.009983333798839,0.26381821920023696,-0.20519853570176583,-4.998822512662957,-6.288904610072347,79.4469 ,30.2679 ,4.4885 ,5.1771190828015445,-0.3995 ,1.5594 ,-0.2498 ,1.6290269027858317,zou
3.137524028361135,0.37731830982944914,-2.627084548339373,-1.673354325146783,-3.3545053266143663,80.2119 ,30.2233 ,4.1558 ,7.900480968361232,-1.9705 ,-0.5345 ,-0.5139 ,2.1053868314397715,zou
9.065622367554578,4.156583961574098,-8.016700375548751,-0.8005209367451718,-0.6490607827072186,80.4687 ,30.6527 ,4.1035 ,12.88777399406199,-1.7756 ,-0.3695 ,-0.4740 ,1.8745563768529343,zou
5.710775347568544,3.098872507029772,-4.79508393908609,0.1308215299186557,-0.5127396956223702,80.3778 ,31.4456 ,4.3470 ,9.874151002105652,-0.0000 ,0.8307 ,-0.5215 ,0.9808285986858254,zou
10.14812162500403,-0.6445776094449358,-7.092466821083652,-7.229509431012885,-8.791444414939757,80.1156 ,32.3477 ,4.7341 ,12.333992621566809,0.8891 ,1.7992 ,-0.8289 ,2.171334764609087,zou
6.96198966585514,-3.137603317765557,-2.4372395352610683,-5.7170454760812195,-9.016076702992542,79.9696 ,33.1436 ,5.0237 ,8.48388965003512,0.8437 ,-0.9976 ,-0.5358 ,1.4121321078426055,zou
12.340541038881948,3.372315588013147,-2.788416260709404,-11.538681703911607,-10.272582455479666,79.9705 ,33.6553 ,5.1895 ,9.790857135782701,-0.2787 ,-1.1863 ,0.5109 ,1.3213630046281755,zou
6.925992381600538,3.3603056124035415,-3.883530642163339,-4.647139594698695,-4.595646030376269,80.2258 ,33.7023 ,5.3280 ,9.421331592534953,-1.7160 ,-4.2842 ,1.0855 ,4.741026881383399,zou
8.273824326326547,1.2822399553499375,-0.4105889810494405,-8.163543738380895,-8.698004153482861,80.7872 ,33.2922 ,5.3967 ,6.0411283502684485,-1.5447 ,-0.7160 ,0.2522 ,1.7211504669842204,zou
8.242939167953077,2.3220918857757487,-2.7943758557503857,-7.399013378646418,-7.546541223503869,81.5928 ,32.6188 ,5.4606 ,8.39344325875564,-2.3222 ,-0.9070 ,-0.0185 ,2.4931113272375143,zou
7.260489155920028,2.0279011154417113,-2.884453784637686,-6.346829619070604,-6.857301982008469,82.2769 ,32.1700 ,5.4313 ,8.27743462741474,-2.3285 ,-0.6103 ,0.3996 ,2.4400939531091828,zou
7.217472747891446,2.332391635633626,-3.457011884404438,-5.890749608977492,-6.315567993039746,82.2492 ,31.7655 ,5.5906 ,8.815338467294062,-2.2597 ,-1.0039 ,0.8390 ,2.611126251256343,zou
9.372321945082854,3.3925615098755064,-4.805597747698447,-7.29638097492918,-6.949763451292936,81.3947 ,31.8668 ,6.1163 ,10.521115929168301,-1.9248 ,-1.0690 ,1.2661 ,2.5398081128305736,zou
11.070975103158503,6.0531465392602595,-6.075572867092147,-7.000951438601092,-5.241043103207331,80.6693 ,32.2646 ,6.2914 ,12.530570537926357,-1.0885 ,-1.2290 ,0.7951 ,1.8241319195716084,zou
10.15879537083325,4.266794579334145,-6.322245530991432,-6.710052075065192,-5.8702227863946135,80.0032 ,32.4192 ,6.1018 ,12.136531656037123,0.3871 ,-0.5525 ,0.0276 ,0.6751773248562187,zou
5.194779274637108,-0.6153230057903224,-3.5217055738178136,-3.7689121987763192,-21.354556703689013,154.3218 ,68.1891 ,13.0864 ,5.057230078886166,1.6249 ,1.0727 ,-1.3337 ,2.3600298705736757,zou
12.276611544829779,-1.9050335467540123,-10.540902456020392,-5.997950785147615,-8.315619872505103,75.5571 ,35.7108 ,6.6573 ,16.331070276581027,3.1599 ,3.3828 ,-1.6029 ,4.898733740468041,zou
